,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kavieng,PG,-2.5744,150.7967,84.63,64,36,17.81,scattered clouds
1,Butaritari,KI,3.0707,172.7902,82.15,78,49,13.71,scattered clouds
2,Gat,IL,31.61,34.7642,66.4,100,1,10.36,clear sky
3,Radomsko,PL,51.0671,19.4448,42.51,93,5,4.59,clear sky
4,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.53,83,40,12.59,scattered clouds
5,Hualmay,PE,-11.0964,-77.6139,64.38,87,23,5.77,few clouds
6,Vaini,TO,-21.2,-175.2,82.56,83,20,9.22,few clouds
7,Mar Del Plata,AR,-38.0023,-57.5575,54.95,71,0,3.44,clear sky
8,Hilo,US,19.7297,-155.09,85.28,58,0,9.22,clear sky
9,Arlit,NE,18.7369,7.3853,85.28,26,100,8.93,overcast clouds
10,Sumbe,AO,-11.2061,13.8437,70.47,82,95,7.54,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,58.12,91,20,5.75,few clouds
12,Rikitea,PF,-23.1203,-134.9692,75.51,78,13,14.38,light rain
13,Mathbaria,BD,22.2876,89.9593,85.69,68,5,3.69,clear sky
14,Airai,TL,-8.9266,125.4092,66.88,67,60,4.38,broken clouds
15,San Cristobal,VE,7.7669,-72.225,75.38,76,2,2.84,clear sky
16,Big Rapids,US,43.6981,-85.4837,55.9,50,40,9.22,scattered clouds
17,Norman Wells,CA,65.282,-126.8329,46.44,53,100,4.61,overcast clouds
18,Erzurum,TR,40.0,41.5,40.68,63,80,4.18,broken clouds
19,Upernavik,GL,72.7868,-56.1549,31.48,85,100,24.58,overcast clouds
20,Olinda,BR,-8.0089,-34.8553,76.73,88,40,9.22,scattered clouds
21,Atuona,PF,-9.8,-139.0333,77.92,79,28,17.74,light rain
22,Opuwo,NA,-18.0607,13.84,53.55,25,1,5.32,clear sky
23,Hithadhoo,MV,-0.6,73.0833,83.28,74,97,11.86,overcast clouds
24,Busselton,AU,-33.65,115.3333,61.92,71,83,20.47,broken clouds
25,Nuristan,AF,35.3,70.8333,28.47,60,87,12.48,overcast clouds
26,Ushuaia,AR,-54.8,-68.3,35.26,75,0,4.61,clear sky
27,Kapaa,US,22.0752,-159.319,81.12,81,100,13.8,overcast clouds
28,Korla,CN,41.7597,86.1469,78.71,21,100,13.67,overcast clouds
29,Hasaki,JP,35.7333,140.8333,66.6,81,96,12.19,overcast clouds
30,Camacha,PT,33.0833,-16.3333,62.02,72,40,10.36,scattered clouds
31,Sobolevo,RU,54.4299,31.8996,36.39,83,20,4.41,few clouds
32,East London,ZA,-33.0153,27.9116,59.45,83,20,4.79,few clouds
33,Sorong,ID,-0.8833,131.25,82.31,71,77,0.87,broken clouds
34,Manokwari,ID,-0.8667,134.0833,83.95,69,67,8.57,broken clouds
35,Kupang,ID,-10.1667,123.5833,84.51,63,100,13.87,overcast clouds
36,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,4.61,broken clouds
37,Tagusao,PH,9.1924,117.8141,83.59,69,52,4.41,broken clouds
38,Matagami,CA,49.7502,-77.6328,46.51,57,100,4.61,overcast clouds
39,Kropotkin,RU,45.4375,40.5756,53.19,98,100,8.68,overcast clouds
40,Castro,BR,-24.7911,-50.0119,48.24,82,19,2.59,few clouds
41,Vysokogornyy,RU,50.1167,139.15,55.27,52,62,3.2,broken clouds
42,Lata,PT,40.1629,-8.3327,63.81,96,89,3.36,overcast clouds
43,Vostok,RU,46.4856,135.8833,58.12,61,70,2.26,broken clouds
44,Mataura,NZ,-46.1927,168.8643,49.26,73,78,9.28,broken clouds
45,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,93,100,14.97,overcast clouds
46,Port Alfred,ZA,-33.5906,26.891,59.88,78,78,5.5,broken clouds
47,Thompson,CA,55.7435,-97.8558,64.56,19,100,8.05,overcast clouds
48,Jamestown,US,42.097,-79.2353,54.01,90,100,9.22,overcast clouds
49,Tinskoy,RU,56.1525,96.9161,57.94,53,1,5.53,clear sky
50,Beniganj,IN,27.2833,80.45,81.84,45,6,12.39,clear sky
51,Kruisfontein,ZA,-34.0033,24.7314,54.41,80,87,3.91,overcast clouds
52,Cabedelo,BR,-6.9811,-34.8339,75.87,87,49,13.67,light rain
53,Puerto Ayora,EC,-0.7393,-90.3518,72.68,86,55,7.76,broken clouds
54,Kodiak,US,57.79,-152.4072,47.71,81,100,14.97,light rain
55,Albany,US,42.6001,-73.9662,69.17,89,99,1.01,overcast clouds
56,Cidreira,BR,-30.1811,-50.2056,59.5,78,99,5.95,overcast clouds
57,Georgetown,MY,5.4112,100.3354,82.33,88,20,3.44,few clouds
58,Urengoy,RU,65.9667,78.3667,55.09,69,12,14.61,few clouds
59,Mount Gambier,AU,-37.8333,140.7667,54.81,62,0,4.99,clear sky
60,Punta Arenas,CL,-53.15,-70.9167,30.31,93,40,8.05,scattered clouds
61,Camalu,MX,30.85,-116.0667,63.54,66,0,11.01,clear sky
62,Andros Town,BS,24.7,-77.7667,80.56,78,50,16.49,scattered clouds
63,Ribeira Grande,PT,38.5167,-28.7,64.35,94,100,4.23,light rain
64,Calama,CL,-22.4667,-68.9333,54.09,11,0,5.75,clear sky
65,Fortuna,US,40.5982,-124.1573,58.93,84,75,11.5,broken clouds
66,Sao Francisco De Paula,BR,-29.4481,-50.5836,50.05,82,100,3.38,overcast clouds
67,Saint-Philippe,RE,-21.3585,55.7679,65.79,72,41,10.33,scattered clouds
68,Severo-Kurilsk,RU,50.6789,156.125,41.67,97,100,15.28,overcast clouds
69,Vao,NC,-22.6667,167.4833,75.43,82,1,12.37,clear sky
70,New Norfolk,AU,-42.7826,147.0587,55.92,61,10,1.92,clear sky
71,Hofn,IS,64.2539,-15.2082,44.91,65,98,11.34,overcast clouds
72,Lumberton,US,34.6182,-79.0086,77.0,79,11,6.08,light rain
73,Yar-Sale,RU,66.8333,70.8333,34.9,91,99,27.85,overcast clouds
74,Ekhabi,RU,53.5102,142.9671,37.18,80,100,6.62,overcast clouds
75,Yellowknife,CA,62.456,-114.3525,37.92,65,100,9.22,light snow
76,Alexander City,US,32.944,-85.9539,76.46,94,100,0.0,overcast clouds
77,Marsaxlokk,MT,35.8419,14.5431,68.07,94,20,9.22,few clouds
78,Acapulco,MX,16.8634,-99.8901,84.02,70,75,5.75,broken clouds
79,La Rioja,ES,42.25,-2.5,56.98,82,2,3.58,clear sky
80,Seoul,KR,37.5683,126.9778,71.17,66,75,3.44,mist
81,Vila Velha,BR,-20.3297,-40.2925,69.75,88,0,3.44,clear sky
82,Dunedin,NZ,-45.8742,170.5036,54.81,45,51,8.01,broken clouds
83,Carutapera,BR,-1.195,-46.02,74.55,93,20,4.25,few clouds
84,Santa Cruz De Tenerife,ES,28.4682,-16.2546,69.62,88,75,16.11,broken clouds
85,Berlevag,NO,70.8578,29.0864,39.15,81,100,1.14,overcast clouds
86,Husavik,IS,66.0449,-17.3389,37.83,96,100,7.74,overcast clouds
87,Arraial Do Cabo,BR,-22.9661,-42.0278,71.2,71,0,14.88,clear sky
88,Valverde Del Camino,ES,37.5751,-6.7543,63.03,96,1,5.14,clear sky
89,Mimongo,GA,-1.6195,11.6068,67.08,99,81,2.55,light rain
90,Puerto Escondido,MX,15.85,-97.0667,83.23,74,0,6.91,clear sky
91,Imbituba,BR,-28.24,-48.6703,62.85,99,100,5.35,overcast clouds
92,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,96,95,3.27,light rain
93,Winsum,NL,53.33,6.5208,57.11,76,100,10.16,overcast clouds
94,Torbay,CA,47.6666,-52.7314,54.37,64,100,13.8,overcast clouds
95,Luderitz,NA,-26.6481,15.1594,59.38,59,16,7.05,few clouds
96,Sao Filipe,CV,14.8961,-24.4956,72.03,77,9,5.46,clear sky
97,Qaanaaq,GL,77.484,-69.3632,27.05,77,100,7.27,overcast clouds
98,Caravelas,BR,-17.7125,-39.2481,69.4,82,23,5.55,few clouds
99,Aksha,RU,50.2814,113.2867,56.68,70,100,9.19,light rain
100,Bereda,ES,43.2686,-7.5406,59.41,99,97,2.75,overcast clouds
101,Jambi,ID,-1.6,103.6167,77.81,93,66,3.94,broken clouds
102,Porangatu,BR,-13.4408,-49.1486,66.13,52,0,1.97,clear sky
103,Leshan,CN,29.5623,103.7639,71.44,75,15,1.74,few clouds
104,Along,IN,28.1667,94.7667,73.24,91,99,0.72,overcast clouds
105,Port Elizabeth,ZA,-33.918,25.5701,52.09,93,0,3.44,clear sky
106,Leirvik,NO,59.7798,5.5005,54.86,74,100,10.89,overcast clouds
107,Yaan,NG,7.3833,8.5667,75.9,86,100,7.27,light rain
108,Hermanus,ZA,-34.4187,19.2345,58.8,82,29,7.45,scattered clouds
109,Bandarbeyla,SO,9.4942,50.8122,81.52,76,70,17.18,broken clouds
110,Carnarvon,AU,-24.8667,113.6333,70.25,58,42,14.29,scattered clouds
111,Sao Bento Do Sul,BR,-26.2503,-49.3786,54.19,98,100,2.26,overcast clouds
112,Tuatapere,NZ,-46.1333,167.6833,50.72,72,63,10.92,broken clouds
113,Lompoc,US,34.6391,-120.4579,69.94,70,0,21.0,clear sky
114,Marawi,PH,7.9986,124.2928,75.6,80,100,1.28,overcast clouds
115,Nemuro,JP,43.3236,145.575,45.72,96,100,14.97,overcast clouds
116,Bredasdorp,ZA,-34.5322,20.0403,54.9,89,70,4.14,broken clouds
117,Anito,PH,12.4497,125.2886,84.81,68,73,7.09,broken clouds
118,Broken Hill,AU,-31.95,141.4333,62.51,56,0,9.55,clear sky
119,Isangel,VU,-19.55,169.2667,84.31,79,40,4.61,scattered clouds
120,Vanimo,PG,-2.6741,141.3028,85.78,66,100,6.24,overcast clouds
121,San Patricio,US,28.017,-97.5169,84.09,66,88,11.1,overcast clouds
122,Knysna,ZA,-34.0363,23.0471,59.07,59,100,1.43,overcast clouds
123,Samarai,PG,-10.6167,150.6667,81.99,76,30,7.7,scattered clouds
124,Phonhong,LA,18.5007,102.4166,74.66,95,100,0.6,overcast clouds
125,Albania,AL,41.0,20.0,62.56,76,12,3.65,few clouds
126,Kalmunai,LK,7.4167,81.8167,79.95,71,35,4.12,scattered clouds
127,Yarensk,RU,62.1675,49.0916,29.82,97,100,8.99,light snow
128,Hobart,AU,-42.8794,147.3294,56.26,84,40,11.5,scattered clouds
129,Muros,ES,42.7762,-9.0603,59.68,92,35,2.62,scattered clouds
130,Shirdi,IN,19.7667,74.4833,77.56,63,0,8.21,clear sky
131,Hirara,JP,24.8,125.2833,80.46,89,75,13.8,broken clouds
132,Namatanai,PG,-3.6667,152.4333,85.42,59,44,12.03,scattered clouds
133,Faanui,PF,-16.4833,-151.75,80.92,69,14,13.51,few clouds
134,Souillac,MU,-20.5167,57.5167,73.78,83,75,8.05,broken clouds
135,Lusambo,CD,-4.9667,23.45,68.43,97,99,1.41,overcast clouds
136,Tshikapa,CD,-6.4167,20.8,71.92,87,95,1.16,overcast clouds
137,Pallisa,UG,1.145,33.7094,63.63,96,37,4.27,light rain
138,Mahebourg,MU,-20.4081,57.7,73.69,83,75,8.05,broken clouds
139,Nahariyya,IL,33.0059,35.0941,68.99,83,10,4.0,clear sky
140,Magnolia,US,33.2671,-93.2393,63.88,88,100,10.29,overcast clouds
141,Bengkulu,ID,-3.8004,102.2655,76.33,88,36,2.59,scattered clouds
142,Bethel,US,41.3712,-73.414,75.07,90,100,0.0,mist
143,Provideniya,RU,64.3833,-173.3,51.91,58,0,13.42,clear sky
144,Cabo San Lucas,MX,22.8909,-109.9124,82.62,44,0,11.5,clear sky
145,Smithers,CA,54.7804,-127.1743,64.72,22,75,13.8,broken clouds
146,Avarua,CK,-21.2078,-159.775,84.25,74,75,9.22,broken clouds
147,Juneau,US,58.3019,-134.4197,68.0,67,75,0.0,broken clouds
148,Hambantota,LK,6.1241,81.1185,77.34,100,20,6.91,few clouds
149,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.3,88,100,8.66,overcast clouds
150,Dodoma,TZ,-6.1722,35.7395,61.66,87,12,5.41,few clouds
151,Esmeraldas,BR,-19.7625,-44.3139,63.64,68,0,3.87,clear sky
